"0","Alimento","Calorias","Hidratos","Proteinas","Grasas","Fibras"
"293","SALMÓN","182","0","18","12","0"
"294","SALMONETE","97","2","14","4","0"
"295","SALSA BOLOÑESA","139","2","8","11","0"
"296","SALSA KETCHUP","98","24","2","0","0"
"297","SALSA QUESO","198","9","8","15","0"
"298","SALVADO TRIGO","206","27","14","6","44"
"299","SANDIA","37","8","1","0","0"
"300","SANGRE VACUNO","81","0","18","1","0"
"301","SARDINAS","135","0","19","5","0"
"302","SARDINAS EN ACEITE","217","0","24","14","0"
"303","SARDINAS CON TOMATE LATA","177","0","18","12","0"
"304","SEPIA","79","0","16","1","0"
"305","SÉSAMO","566","10","19","50","0"
"306","SESOS CERDO","132","0","11","9","0"
"307","SESOS CORDERO","110","0","10","8","0"
"308","SESOS TERNERA","110","0","10","8","0"
"309","SETAS BOLETUS EDULIS","16","0","3","0","7"
"310","SETAS CANTHARELLUS","11","0","2","0","6"
"311","SETAS COLMENILLA","9","0","2","0","7"
"312","SEVEN-UP","144","36","0","0","0"
"313","SIDRA","36","3","0","0","0"
"314","SOJA BROTES","9","1","2","0","3"
"315","SOPA DE CEBOLLA","54","2","2","4","0"
"316","SOPA MINESTRONE","35","5","2","1","0"
"317","SPEISEQUARK TIPO QUESO","101","3","10","5","0"
"318","TAPIOCA","359","95","0","0","0"
"319","TARTA MANZANA CASERA","282","43","2","12","0"
"320","TE INFUSIÓN","0","0","0","0","0"
"321","TOCINO","427","0","14","41","0"
"322","TOMATE","14","3","0","0","2"
"323","TOMATE FRITO","69","3","1","6","3"
"324","TÓNICA AGUA","42","10","0","0","0"
"325","TRUCHA","89","0","16","3","0"
"326","TRUFAS","25","0","6","0","0"
"327","TURRÓN MEDIA","470","57","10","24","7"
"328","UVAS","61","16","0","0","0"
"329","UVAS PASAS","243","63","2","0","6"
"330","VERMOUTH SECO","118","6","0","0","0"
"331","VIEIRAS","70","0","16","0","0"
"332","VINAGRE DE VINO","4","1","0","0","0"
"333","VINO BLANCO","75","3","0","0","0"
"334","VINO OPORTO","157","12","0","0","0"
"335","VINO ROSADO","71","2","0","0","0"
"336","VINOTINTO","68","0","0","0","0"
"337","WEETABIX CEREALES","340","70","11","3","13"
"338","WHISKY","222","0","0","0","0"
"339","WHOPPER HAMBURGUESA BURGER- KING","630","50","26","36","0"
"340","WHOPPER QUESO BURGER- KING","740","52","32","45","0"
"341","YEMA HUEVO LIQUIDA","377","0","16","32","0"
"342","YOGUR DESNATADO","52","6","5","1","0"
"343","YOGUR FRUTAS","102","19","4","2","0"
"344","YOGUR LIQUIDO","78","11","3","2","0"
"345","YOGUR CON NATA","60","4","4","4","0"
"346","YOGUR NATURAL","75","6","5","4","0"
"347","YOGUR SABORES","88","14","4","2","0"
"348","YOGUR FRUTAS SEMIDESNATADO","95","18","5","1","0"
